Date,BBAS3.SA,BPAC11.SA,CURY3.SA,ENGI11.SA,GOOGL,ITUB4.SA,MBRF3.SA,MSFT,MULT3.SA,NVDA,PRIO3.SA,RAIL3.SA,RDOR3.SA,RENT3.SA,SUZB3.SA,TEND3.SA,WEGE3.SA,IBOVESPA,CDI
2023-08-30,20.410140991210938,30.29318618774414,12.155680656433105,37.25295639038086,134.6857452392578,19.24417495727539,6.3157548904418945,321.8702392578125,22.561073303222656,49.16820526123047,45.736541748046875,21.438987731933594,24.66721534729004,55.760501861572266,47.074790954589844,12.012304306030273,33.53305435180664,117535.0,130.23587003928324
2023-08-31,20.09023094177246,29.93364715576172,11.752171516418457,36.7507209777832,134.97317504882812,19.07725715637207,6.350032806396484,320.8619079589844,21.74370574951172,49.259037017822266,46.345558166503906,21.173725128173828,24.684436798095703,55.56722640991211,46.44502258300781,11.782184600830078,33.14506530761719,115742.0,130.28864963015133
2023-09-01,20.226728439331055,29.776927947998047,11.860254287719727,37.149322509765625,134.4676513671875,19.242645263671875,6.307185173034668,321.7429504394531,22.15678596496582,48.41468048095703,46.87471008300781,21.476882934570312,24.85669708251953,55.988929748535156,47.32483673095703,12.362089157104492,33.20973587036133,117893.0,130.34145061055833
2023-09-04,20.162744522094727,29.288328170776367,11.55041790008545,37.53994369506836,134.4676513671875,19.068660736083984,6.290046215057373,321.7429504394531,22.271039962768555,48.41468048095703,46.535255432128906,21.410568237304688,25.06340217590332,55.65507507324219,47.20444107055664,11.71774959564209,33.37601852416992,117777.0,130.39427298917263
2023-09-05,20.09023094177246,29.002540588378906,11.492773056030273,36.910160064697266,134.5767059326172,18.783323287963867,6.2814764976501465,326.53009033203125,22.218311309814453,48.453609466552734,47.41384506225586,20.917936325073242,24.744728088378906,54.65355682373047,46.92660140991211,11.487628936767578,33.17277908325195,117331.0,130.44711677466609
2023-09-06,19.953739166259766,28.54159927368164,11.262197494506836,36.08905029296875,133.2781982421875,18.60238265991211,6.255768299102783,325.8741760253906,21.81402015686035,46.973365783691406,46.714969635009766,20.71898651123047,24.3916015625,53.23033142089844,46.17644500732422,11.598088264465332,32.84021759033203,115985.0,130.4999819757141
2023-09-07,19.953739166259766,28.54159927368164,11.262197494506836,36.08905029296875,134.07115173339844,18.60238265991211,6.255768299102783,322.96661376953125,21.81402015686035,46.1548957824707,46.714969635009766,20.71898651123047,24.3916015625,53.23033142089844,46.17644500732422,11.598088264465332,32.84021759033203,115985.0,130.55286860099554
2023-09-08,19.894020080566406,28.265031814575195,11.35586929321289,36.2564582824707,135.1813201904297,18.63022232055664,6.512854099273682,327.23486328125,21.91948699951172,45.48714065551758,47.41384506225586,20.917936325073242,24.33131217956543,53.01948165893555,45.194759368896484,11.83741283416748,32.70166015625,115313.0,130.60577665919283
2023-09-11,20.20966339111328,28.560035705566406,11.795405387878418,36.67100143432617,135.71658325195312,19.103456497192383,6.392880916595459,330.8276672363281,22.12162971496582,45.093875885009766,47.63349151611328,20.974775314331055,25.304563522338867,53.80137634277344,46.2783203125,12.426522254943848,32.59080123901367,116883.0,130.65870615899192
2023-09-12,20.31886100769043,29.17770004272461,11.99715805053711,37.858821868896484,134.15045166015625,19.214805603027344,6.521423816680908,324.7875061035156,22.376508712768555,44.78644943237305,48.03285217285156,21.562145233154297,25.04617691040039,54.61841583251953,46.556156158447266,12.997221946716309,32.93259811401367,117968.0,130.71165710908227
